,Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
848,NFATC2,Nuclear Factor Of Activated T Cells 2,Protein Coding,45,GC20M051386,10.37,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFATC2
849,PLA2G3,Phospholipase A2 Group III,Protein Coding,38,GC22M031135,10.36,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G3
850,PTAFR,Platelet Activating Factor Receptor,Protein Coding,43,GC01M028147,10.35,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTAFR
851,GRK1,G Protein-Coupled Receptor Kinase 1,Protein Coding,42,GC13P113645,10.35,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK1
852,GPI,Glucose-6-Phosphate Isomerase,Protein Coding,46,GC19P034359,10.34,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPI
853,CARHSP1,Calcium Regulated Heat Stable Protein 1,Protein Coding,37,GC16M008852,10.34,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARHSP1
854,CASP8,Caspase 8,Protein Coding,52,GC02P201233,10.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8
855,HRH2,Histamine Receptor H2,Protein Coding,44,GC05P175659,10.32,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH2
856,PLA2G5,Phospholipase A2 Group V,Protein Coding,44,GC01P020028,10.31,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G5
857,FCGR3B,Fc Fragment Of IgG Receptor IIIb,Protein Coding,42,GC01M161623,10.3,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3B
858,MIR146A,MicroRNA 146a,RNA Gene,22,GC05P160485,10.3,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A
859,CAPN10,Calpain 10,Protein Coding,41,GC02P240586,10.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN10
860,LIPE,"Lipase E, Hormone Sensitive Type",Protein Coding,47,GC19M042401,10.28,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPE
861,NRGN,Neurogranin,Protein Coding,39,GC11P124739,10.28,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRGN
862,SFTPD,Surfactant Protein D,Protein Coding,44,GC10M079937,10.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPD
863,CDH13,Cadherin 13,Protein Coding,42,GC16P082626,10.26,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH13
864,CR2,Complement C3d Receptor 2,Protein Coding,44,GC01P207454,10.25,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CR2
865,SYPL2,Synaptophysin Like 2,Protein Coding,36,GC01P109466,10.25,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYPL2
866,ABCC8,ATP Binding Cassette Subfamily C Member 8,Protein Coding,45,GC11M017392,10.25,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8
867,DNASE1L3,Deoxyribonuclease 1 Like 3,Protein Coding,43,GC03M058192,10.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNASE1L3
868,JAG1,Jagged Canonical Notch Ligand 1,Protein Coding,50,GC20M010637,10.23,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG1
869,GABBR1,Gamma-Aminobutyric Acid Type B Receptor Subunit 1,Protein Coding,47,GC06M029555,10.22,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABBR1
870,ADA,Adenosine Deaminase,Protein Coding,51,GC20M044620,10.22,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA
871,CYP11A1,Cytochrome P450 Family 11 Subfamily A Member 1,Protein Coding,48,GC15M074337,10.22,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP11A1
872,KCND3,Potassium Voltage-Gated Channel Subfamily D Member 3,Protein Coding,46,GC01M111770,10.22,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCND3
873,PTPA,Protein Phosphatase 2 Phosphatase Activator,Protein Coding,35,GC09P129111,10.21,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPA
874,GNRH1,Gonadotropin Releasing Hormone 1,Protein Coding,41,GC08M025419,10.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRH1
875,PLA2G2D,Phospholipase A2 Group IID,Protein Coding,42,GC01M020111,10.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G2D
876,F2RL1,F2R Like Trypsin Receptor 1,Protein Coding,45,GC05P076818,10.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2RL1
877,ADCY3,Adenylate Cyclase 3,Protein Coding,47,GC02M024819,10.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY3
878,PLSCR1,Phospholipid Scramblase 1,Protein Coding,43,GC03M146515,10.16,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLSCR1
879,PLS3,Plastin 3,Protein Coding,41,GC0XP115560,10.15,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLS3
880,PAX2,Paired Box 2,Protein Coding,46,GC10P100735,10.13,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX2
881,NALCN,"Sodium Leak Channel, Non-Selective",Protein Coding,40,GC13M101053,10.13,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NALCN
882,CSF1R,Colony Stimulating Factor 1 Receptor,Protein Coding,52,GC05M150053,10.12,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1R
883,SERPINE1,Serpin Family E Member 1,Protein Coding,50,GC07P101127,10.12,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1
884,IL2RA,Interleukin 2 Receptor Subunit Alpha,Protein Coding,50,GC10M006010,10.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA
885,PTGFR,Prostaglandin F Receptor,Protein Coding,44,GC01P078303,10.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGFR
886,MMP13,Matrix Metallopeptidase 13,Protein Coding,50,GC11M102942,10.09,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP13
887,EFCAB6,EF-Hand Calcium Binding Domain 6,Protein Coding,35,GC22M045427,10.09,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFCAB6
888,FPR2,Formyl Peptide Receptor 2,Protein Coding,45,GC19P051752,10.08,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FPR2
889,NFKB2,Nuclear Factor Kappa B Subunit 2,Protein Coding,52,GC10P102394,10.08,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB2
890,FPR1,Formyl Peptide Receptor 1,Protein Coding,47,GC19M051745,10.07,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FPR1
891,ITGB3,Integrin Subunit Beta 3,Protein Coding,49,GC17P047254,10.07,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3
892,FAS,Fas Cell Surface Death Receptor,Protein Coding,50,GC10P088969,10.06,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS
893,PEX26,Peroxisomal Biogenesis Factor 26,Protein Coding,41,GC22P018079,10.05,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX26
894,PNCK,Pregnancy Up-Regulated Nonubiquitous CaM Kinase,Protein Coding,37,GC0XM153669,10.05,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNCK
895,PPP3CC,Protein Phosphatase 3 Catalytic Subunit Gamma,Protein Coding,44,GC08P022440,10.04,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP3CC
896,TNFRSF13C,TNF Receptor Superfamily Member 13C,Protein Coding,44,GC22M045411,10.03,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF13C
897,GFAP,Glial Fibrillary Acidic Protein,Protein Coding,47,GC17M044905,10.03,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP
898,KDR,Kinase Insert Domain Receptor,Protein Coding,53,GC04M055078,10.03,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDR
899,GHRL,Ghrelin And Obestatin Prepropeptide,Protein Coding,43,GC03M010285,10.03,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL
900,PLAT,"Plasminogen Activator, Tissue Type",Protein Coding,49,GC08M042174,10.02,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAT
901,HTR2B,5-Hydroxytryptamine Receptor 2B,Protein Coding,43,GC02M231108,10.02,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2B
902,EFCAB14,EF-Hand Calcium Binding Domain 14,Protein Coding,30,GC01M046675,10.0,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFCAB14
903,CPNE5,Copine 5,Protein Coding,35,GC06M042232,9.99,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPNE5
904,SMDT1,Single-Pass Membrane Protein With Aspartate Rich Tail 1,Protein Coding,32,GC22P042079,9.99,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMDT1
905,MCFD2,"Multiple Coagulation Factor Deficiency 2, ER Cargo Receptor Complex Subunit",Protein Coding,43,GC02M046901,9.97,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCFD2
906,IL3,Interleukin 3,Protein Coding,44,GC05P132060,9.97,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL3
907,FGFR2,Fibroblast Growth Factor Receptor 2,Protein Coding,54,GC10M121478,9.95,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2
908,TRPM1,Transient Receptor Potential Cation Channel Subfamily M Member 1,Protein Coding,43,GC15M031001,9.94,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM1
909,EFCAB5,EF-Hand Calcium Binding Domain 5,Protein Coding,31,GC17P029929,9.94,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFCAB5
910,LPL,Lipoprotein Lipase,Protein Coding,49,GC08P019901,9.94,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL
911,RPH3A,Rabphilin 3A,Protein Coding,39,GC12P112570,9.93,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPH3A
912,FCGR2B,Fc Fragment Of IgG Receptor IIb,Protein Coding,47,GC01P161663,9.93,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2B
913,MUC1,"Mucin 1, Cell Surface Associated",Protein Coding,47,GC01M155185,9.92,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1
914,CACHD1,Cache Domain Containing 1,Protein Coding,35,GC01P064470,9.92,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACHD1
915,STAT1,Signal Transducer And Activator Of Transcription 1,Protein Coding,53,GC02M190908,9.92,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1
916,GSR,Glutathione-Disulfide Reductase,Protein Coding,48,GC08M030678,9.92,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSR
917,SFTPA2,Surfactant Protein A2,Protein Coding,40,GC10M079563,9.9,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPA2
918,TLR9,Toll Like Receptor 9,Protein Coding,45,GC03M052222,9.9,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR9
919,PLCD4,Phospholipase C Delta 4,Protein Coding,43,GC02P218608,9.89,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCD4
920,EFCAB2,EF-Hand Calcium Binding Domain 2,Protein Coding,32,GC01P244969,9.89,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFCAB2
921,BRS3,Bombesin Receptor Subtype 3,Protein Coding,43,GC0XP136482,9.88,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRS3
922,CAMK2N1,Calcium/Calmodulin Dependent Protein Kinase II Inhibitor 1,Protein Coding,32,GC01M020482,9.87,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2N1
923,LYN,"LYN Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,50,GC08P055879,9.87,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYN
924,CSK,C-Terminal Src Kinase,Protein Coding,48,GC15P074782,9.86,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSK
925,TIMP1,TIMP Metallopeptidase Inhibitor 1,Protein Coding,45,GC0XP047583,9.86,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1
926,PTEN,Phosphatase And Tensin Homolog,Protein Coding,52,GC10P087863,9.86,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
927,CUL5,Cullin 5,Protein Coding,44,GC11P108008,9.85,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL5
928,GUCY2D,"Guanylate Cyclase 2D, Retinal",Protein Coding,43,GC17P008002,9.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCY2D
929,CASP1,Caspase 1,Protein Coding,50,GC11M105025,9.83,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1
930,ERBB4,Erb-B2 Receptor Tyrosine Kinase 4,Protein Coding,55,GC02M211375,9.82,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB4
931,MAPT,Microtubule Associated Protein Tau,Protein Coding,50,GC17P045894,9.81,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT
932,HSPA8,Heat Shock Protein Family A (Hsp70) Member 8,Protein Coding,47,GC11M123057,9.8,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA8
933,ANO4,Anoctamin 4,Protein Coding,34,GC12P100717,9.8,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO4
934,EFCAB12,EF-Hand Calcium Binding Domain 12,Protein Coding,29,GC03M129401,9.8,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFCAB12
935,NLRP3,NLR Family Pyrin Domain Containing 3,Protein Coding,47,GC01P247415,9.8,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3
936,HFE,Homeostatic Iron Regulator,Protein Coding,43,GC06P026087,9.8,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE
937,PTPRC,Protein Tyrosine Phosphatase Receptor Type C,Protein Coding,51,GC01P198607,9.8,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRC
938,HCRT,Hypocretin Neuropeptide Precursor,Protein Coding,40,GC17M042185,9.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRT
939,GAD1,Glutamate Decarboxylase 1,Protein Coding,51,GC02P170813,9.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAD1
940,HTT,Huntingtin,Protein Coding,43,GC04P003041,9.78,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTT
941,SCUBE2,"Signal Peptide, CUB Domain And EGF Like Domain Containing 2",Protein Coding,39,GC11M009019,9.78,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCUBE2
942,PLCH2,Phospholipase C Eta 2,Protein Coding,39,GC01P002425,9.77,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCH2
943,TFAP2A,Transcription Factor AP-2 Alpha,Protein Coding,47,GC06M010393,9.77,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2A
944,CHRNE,Cholinergic Receptor Nicotinic Epsilon Subunit,Protein Coding,43,GC17M004897,9.77,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNE
945,CALHM3,Calcium Homeostasis Modulator 3,Protein Coding,28,GC10M103473,9.76,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALHM3
946,PON2,Paraoxonase 2,Protein Coding,42,GC07M095404,9.75,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON2
947,VAV1,Vav Guanine Nucleotide Exchange Factor 1,Protein Coding,47,GC19P006772,9.74,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAV1
948,TMBIM6,Transmembrane BAX Inhibitor Motif Containing 6,Protein Coding,36,GC12P049707,9.74,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMBIM6
949,SLC1A1,Solute Carrier Family 1 Member 1,Protein Coding,47,GC09P004490,9.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A1
950,PLCD3,Phospholipase C Delta 3,Protein Coding,41,GC17M045108,9.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCD3
951,ACVRL1,Activin A Receptor Like Type 1,Protein Coding,50,GC12P051906,9.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1
952,SLC2A1,Solute Carrier Family 2 Member 1,Protein Coding,52,GC01M042925,9.71,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1
953,RCN3,Reticulocalbin 3,Protein Coding,34,GC19P049527,9.71,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCN3
954,MKI67,Marker Of Proliferation Ki-67,Protein Coding,44,GC10M128096,9.71,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKI67
955,ANO8,Anoctamin 8,Protein Coding,33,GC19M017324,9.7,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO8
956,CCL4,C-C Motif Chemokine Ligand 4,Protein Coding,40,GC17P036103,9.69,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL4
957,UNC13A,Unc-13 Homolog A,Protein Coding,40,GC19M017602,9.69,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC13A
958,CYCS,"Cytochrome C, Somatic",Protein Coding,48,GC07M025118,9.68,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS
959,LTBP2,Latent Transforming Growth Factor Beta Binding Protein 2,Protein Coding,43,GC14M074498,9.67,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP2
960,IFNA1,Interferon Alpha 1,Protein Coding,39,GC09P021494,9.67,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1
961,PLSCR3,Phospholipid Scramblase 3,Protein Coding,37,GC17M007389,9.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLSCR3
962,IHH,Indian Hedgehog Signaling Molecule,Protein Coding,47,GC02M219054,9.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IHH
963,MC4R,Melanocortin 4 Receptor,Protein Coding,45,GC18M060371,9.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC4R
964,EFCAB3,EF-Hand Calcium Binding Domain 3,Protein Coding,33,GC17P062343,9.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFCAB3
965,MYO5A,Myosin VA,Protein Coding,44,GC15M060775,9.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO5A
966,PLEK,Pleckstrin,Protein Coding,40,GC02P068365,9.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEK
967,DRD2,Dopamine Receptor D2,Protein Coding,50,GC11M113409,9.63,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2
968,CDH11,Cadherin 11,Protein Coding,48,GC16M064882,9.62,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH11
969,MYLK2,Myosin Light Chain Kinase 2,Protein Coding,47,GC20P031819,9.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYLK2
970,RNU4ATAC,"RNA, U4atac Small Nuclear (U12-Dependent Splicing)",RNA Gene,20,GC02P121532,9.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU4ATAC
971,MDH2,Malate Dehydrogenase 2,Protein Coding,48,GC07P076048,9.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDH2
972,PRKAA2,Protein Kinase AMP-Activated Catalytic Subunit Alpha 2,Protein Coding,50,GC01P056645,9.6,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA2
973,CHRNA9,Cholinergic Receptor Nicotinic Alpha 9 Subunit,Protein Coding,42,GC04P040337,9.6,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA9
974,PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,52,GC03P179148,9.6,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA
975,SLC3A2,Solute Carrier Family 3 Member 2,Protein Coding,42,GC11P062856,9.59,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A2
976,PEX6,Peroxisomal Biogenesis Factor 6,Protein Coding,43,GC06M042963,9.58,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX6
977,SERPINA3,Serpin Family A Member 3,Protein Coding,43,GC14P094612,9.58,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA3
978,TRH,Thyrotropin Releasing Hormone,Protein Coding,42,GC03P129974,9.58,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRH
979,CHRM1,Cholinergic Receptor Muscarinic 1,Protein Coding,45,GC11M063457,9.57,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM1
980,NPSR1,Neuropeptide S Receptor 1,Protein Coding,40,GC07P034664,9.57,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPSR1
981,PLSCR4,Phospholipid Scramblase 4,Protein Coding,37,GC03M146192,9.57,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLSCR4
982,TNFSF10,TNF Superfamily Member 10,Protein Coding,46,GC03M172505,9.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF10
983,GBA,Glucosylceramidase Beta,Protein Coding,47,GC01M155234,9.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA
984,STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,52,GC17M042313,9.55,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
985,DHH,Desert Hedgehog Signaling Molecule,Protein Coding,41,GC12M049094,9.55,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHH
986,TNNT1,"Troponin T1, Slow Skeletal Type",Protein Coding,43,GC19M055132,9.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNT1
987,AVPR1B,Arginine Vasopressin Receptor 1B,Protein Coding,43,GC01M206109,9.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AVPR1B
988,RAB3A,"RAB3A, Member RAS Oncogene Family",Protein Coding,44,GC19M018196,9.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB3A
989,MCTP1,Multiple C2 And Transmembrane Domain Containing 1,Protein Coding,36,GC05M094703,9.53,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCTP1
990,CCR4,C-C Motif Chemokine Receptor 4,Protein Coding,45,GC03P032951,9.53,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR4
991,H4-16,H4 Histone 16,Protein Coding,33,GC12M014768,9.51,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4-16
992,KCNIP4,Potassium Voltage-Gated Channel Interacting Protein 4,Protein Coding,39,GC04M020728,9.51,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNIP4
993,TP63,Tumor Protein P63,Protein Coding,48,GC03P189598,9.51,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP63
994,ADRA1A,Adrenoceptor Alpha 1A,Protein Coding,47,GC08M026747,9.5,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA1A
995,GUCA1C,Guanylate Cyclase Activator 1C,Protein Coding,33,GC03M108907,9.5,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCA1C
996,TCHH,Trichohyalin,Protein Coding,34,GC01M152106,9.49,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCHH
997,ANXA3,Annexin A3,Protein Coding,42,GC04P078551,9.49,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA3
998,PRODH,Proline Dehydrogenase 1,Protein Coding,45,GC22M018912,9.48,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRODH
999,IRF5,Interferon Regulatory Factor 5,Protein Coding,48,GC07P128937,9.48,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF5
1000,GPT,Glutamic--Pyruvic Transaminase,Protein Coding,41,GC08P144502,9.47,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT
1001,CETP,Cholesteryl Ester Transfer Protein,Protein Coding,46,GC16P056961,9.47,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETP
1002,PLS1,Plastin 1,Protein Coding,40,GC03P142596,9.45,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLS1
1003,LCT,Lactase,Protein Coding,43,GC02M135787,9.44,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCT
1004,CPNE8,Copine 8,Protein Coding,35,GC12M038646,9.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPNE8
1005,TRHR,Thyrotropin Releasing Hormone Receptor,Protein Coding,43,GC08P109084,9.42,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRHR
1006,CDH15,Cadherin 15,Protein Coding,43,GC16P089171,9.42,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH15
1007,CHGA,Chromogranin A,Protein Coding,42,GC14P092923,9.42,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHGA
1008,CTSK,Cathepsin K,Protein Coding,48,GC01M150796,9.42,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSK
1009,PDCD6IP,Programmed Cell Death 6 Interacting Protein,Protein Coding,42,GC03P033798,9.41,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD6IP
1010,SEC24C,"SEC24 Homolog C, COPII Coat Complex Component",Protein Coding,44,GC10P073744,9.41,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC24C
1011,CCR2,C-C Motif Chemokine Receptor 2,Protein Coding,45,GC03P046356,9.41,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR2
1012,LEP,Leptin,Protein Coding,47,GC07P128241,9.4,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP
1013,WNT1,Wnt Family Member 1,Protein Coding,46,GC12P049053,9.39,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT1
1014,IDH1,Isocitrate Dehydrogenase (NADP(+)) 1,Protein Coding,52,GC02M208236,9.39,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1
1015,IGFBP3,Insulin Like Growth Factor Binding Protein 3,Protein Coding,45,GC07M045912,9.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP3
1016,CREBBP,CREB Binding Protein,Protein Coding,52,GC16M003726,9.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP
1017,CAB39,Calcium Binding Protein 39,Protein Coding,39,GC02P230712,9.37,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAB39
1018,KDM4C,Lysine Demethylase 4C,Protein Coding,40,GC09P006720,9.36,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM4C
1019,MT-ND1,Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1,Protein Coding,32,GCMTP003309,9.36,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND1
1020,ABCC2,ATP Binding Cassette Subfamily C Member 2,Protein Coding,47,GC10P099782,9.35,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC2
1021,ADRB1,Adrenoceptor Beta 1,Protein Coding,48,GC10P114044,9.35,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB1
1022,CCKBR,Cholecystokinin B Receptor,Protein Coding,44,GC11P006259,9.35,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCKBR
1023,SCT,Secretin,Protein Coding,35,GC11M000626,9.34,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCT
1024,CCN2,Cellular Communication Network Factor 2,Protein Coding,39,GC06M131948,9.32,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2
1025,NOL3,Nucleolar Protein 3,Protein Coding,43,GC16P067174,9.32,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOL3
